級別	字詞	中文釋義
初級	a	[冠詞] 一個;一種
初級	A.M.	[縮寫] 上午
中級	abandon	[動詞] 放棄; [名詞] 放縱;放任
中高級	abandoned	[形容詞] 被遺棄的
中高級	abbey	[名詞] 大修道院
中高級	abbreviate	[動詞] 縮寫
中高級	abbreviation	[名詞] 縮寫;省略
中高級	abdomen	[名詞] 下腹
中高級	abide	[動詞] 忍受;等候
初級	ability	[名詞] 能力;專門技能
初級	able	[形容詞] 能;有能力的
中級	abnormal	[形容詞] 不正常的
中級	aboard	[副詞] 在船(或飛機;車)上;上船(或飛機;車); [介系詞] 上(船,飛機,車);在(船,飛機,車)上
中高級	abolish	[動詞] 廢除;廢止
中高級	aboriginal	[形容詞] 土著的;土著居民的; [名詞] 土著居民; 土生動物(或植物)
中高級	aborigine	[名詞] 土著居民
中高級	abortion	[名詞] 墮胎
中高級	abound	[動詞] 大量存在;富足;充滿
初級	about	[副詞] 在四周;在附近;大約; [介系詞] 大約;關於
初級	above	[形容詞] 上文的,前述的; [副詞] 在上面;在上文;更高; [介系詞] 在…之上
初級	abroad	[副詞] 在國外
中高級	abrupt	[形容詞] 突然的;意外的
中級	absence	[名詞] 缺席
初級	absent	[形容詞] 缺席的,不在場的
中高級	absent-minded	[形容詞] 心不在焉的;健忘的
中級	absolute	[形容詞] 絕對的;完全的; [名詞] 絕對事物;絕對
中級	absolutely	[副詞] 絕對地,完全地
中級	absorb	[動詞] 吸收(液體,氣體,光,聲等)
中級	abstract	[形容詞] 抽象的; [名詞] 摘要
中高級	abstraction	[名詞] 抽象
中高級	absurd	[形容詞] 荒謬的;愚蠢的; [名詞] 荒謬;愚蠢
中高級	abundance	[名詞] 豐富;充足
中高級	abundant	[形容詞] 大量的;充足的; 豐富的
中級	abuse	[動詞] 濫用;虐待; [名詞] 濫用;虐待
中級	academic	[形容詞] 學術的
中級	academy	[名詞] 學院;大學;研究院
中高級	accelerate	[動詞] 加快;增長
中高級	acceleration	[名詞] 加速;促進
中級	accent	[名詞] 重音;腔調
